Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
High income: nonOECD,NOC,,,,,,,,,,8.64942250642686,10.218196436632,11.7686226314528,14.1572453718833,14.5767704439959,11.5938361034036,3.66974495700167,12.6421518535803,9.80326906085713,4.36465367603776,10.5081845452386,8.85770624795137,5.20530177819285,-2.98293587507736,0.257012053675481,4.73568577364372,-0.104256928932926,4.74274630379985,5.61299284512704,6.34169007114929,5.74733119532418,7.21990859232382,6.13677697665173,5.73149783739622,5.4048607040112,5.5404637910551,4.25187696823126,4.52735258829722,5.11399525306788,1.12018708372214,3.27668224394256,6.36708003649656,0.592744326614309,3.01386537268584,5.0751040997735,7.16900014372371,5.56125933376561,6.09098268804252,5.24013359598467,2.70626010923701,-1.27829448688105,7.30042476465376,5.55762887342648,
High income: OECD,OEC,,4.71685268329452,5.97602875591272,5.31561842866672,6.68369872559236,5.68295568543402,6.34659568969116,4.63523025870238,6.36082301222429,5.86913831227673,1.96599438091474,3.7293268573314,5.63440201119307,6.44086224846492,0.700495856666976,0.408494858912121,4.77529686453167,3.87209137032502,4.49852093593188,3.85281370355199,1.08518120309375,2.05799042415853,0.322868239056632,3.0853586403103,4.82585750960396,4.06189561456156,3.15036956541377,3.3460762247641,4.84548097374815,3.94788761497644,3.10319419935436,1.20481531225477,1.91838152577574,1.28865834479552,3.09754359953205,2.62416907423022,2.89708487919007,3.28748846899956,2.33400041840082,3.29789500296083,3.83490195427055,1.38695650927032,1.50892874149851,1.97262888210619,2.97464230484019,2.43273000295386,2.77484705642202,2.54381892314335,-0.0727015104450288,-3.85650120031315,3.06404042693582,1.31922685170342,
Latin America & Caribbean (all income levels),LCN,,6.23042413164441,4.13105918463515,2.15919731562227,7.99752618148801,5.75493173215101,3.81568704701056,4.37694845628167,7.3330699072565,6.41657161447593,6.22148449103032,6.22551568078708,6.53184480731232,7.64124219879037,5.98539975178853,3.38618827694023,5.09065242274008,4.91632010877629,3.6716970116115,6.98943883379344,6.00458009508682,0.797861652742696,-1.12368769324142,-2.29829506175238,3.89086509163697,2.50339615203121,4.02313796991936,3.22326452713233,0.7290392363347,1.0475323448206,0.340134642785245,4.15798778326698,3.56894823588365,3.3917619232268,4.64694220284979,0.796275929016389,3.5676071071512,5.437940242246,2.47377525247843,0.638170924342944,3.95660530775868,0.503390010546468,-0.310012030465984,2.10387355053217,6.0241248195704,4.84012125034616,5.67803580491722,5.70090528669871,4.12304271363442,-1.58101788038047,6.00799034998469,4.66061246095597,
Latin America & Caribbean (developing only),LAC,,6.09692711312316,4.04057754516568,1.94287995590751,8.01730652797291,5.68612594183439,3.71547377322076,4.31340302062655,7.40793446481705,6.36752451046334,6.22164711154849,6.27528897429113,6.56107351757417,7.72884066098223,6.23705945065018,3.5807588698427,5.08774600595028,4.85082234329299,3.54515950567007,6.98125529976173,6.08346656722051,0.805057224040851,-1.12639700053774,-2.33502478166957,3.84009173822946,2.54295444593315,3.96341866535614,3.22164451131073,0.586303818110622,0.924977116970965,0.250553021155866,4.2545185455815,3.5972732492864,3.3867778284345,4.6674175300932,0.663047340031781,3.60359957944083,5.46997750475748,2.35803619131987,0.46506199827239,3.96896302217374,0.315571240466838,-0.387650232249925,2.12728442169869,6.12888830535955,4.96391794313233,5.82343603645698,5.95085371989941,4.30620785819889,-1.54192879857236,6.24922427837448,4.71245172710739,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,1.61164437862058,1.64999477456595,1.93505566604956,0.93898591896351,3.91218857844362,4.61184447048669,2.7678880643096,2.56540970547002,1.62356766970282,1.71597323402139,0.985264375162302,1.61972064090403,1.79715543354386,5.0837270949479,5.29157098791401,5.13719943641324,4.22651238995191,4.62893179795896,4.5437489850859,5.75219029601519,4.58846344308705,4.99860138932044,6.82079930178566,6.90629582544189,7.0429809076729,7.4497649176338,6.71829939986115,4.80311675262274,5.89160147283197,4.99713382101388,
Low & middle income,LMY,,1.93680028105645,3.47460505589368,4.27571775464249,7.72099790028523,5.35673770705549,4.21184551652725,3.88055059556787,6.08265198609914,7.05711590995529,7.15490290854058,5.55276560912932,5.64043351763164,6.55463768026119,5.7469874783545,4.57441311811336,5.51872173143329,4.8705088657151,4.07349594164626,4.86809990927036,5.10757993898355,2.29103723541107,1.64491813264873,1.58363973517393,4.78909935219689,3.78567705190818,4.12262775790313,4.44167580697039,3.75876754555422,2.51587984257714,1.97266936283778,2.75814168570396,2.46190515108292,3.5487681380787,3.80827153857636,3.85994669580801,5.31145323690767,5.26558954049638,2.49556029090752,3.27433389756449,5.36663294435526,3.09981630852469,3.73980280558072,5.52336151422614,7.5017316040459,7.23263982815794,8.09454106784059,8.64069825568671,5.74419058277012,2.71981088010014,7.67700225150818,6.37555802890371,
Low income,LIC,,1.32800302062985,7.08404214648706,1.76257818674297,5.59296282461099,2.42050692361082,4.21464164269578,0.800970840990672,6.23187827848952,4.20279201517863,4.5167052636443,1.52721655320181,-2.84757899364494,2.56106595067402,6.06979016634082,-1.76987562313354,2.76922723434797,2.72094119390312,3.46556848209534,4.1826041074448,2.27277666736126,3.14905004627222,1.18430428751086,2.00218778748409,2.2538670196645,2.03212064404509,4.23682129741114,3.6765195611236,4.01660550022666,2.28514985689581,2.84669432249692,1.01383077790975,-1.179765382357,1.30002682018451,1.67278931367866,4.46833456341346,5.18926918496847,4.0298503610056,3.88286492969073,4.14542131436895,3.49123561538715,5.24264131441299,3.28783958489245,3.74767410328954,6.10207912919245,6.24933227262392,6.20394872079906,6.40759052635906,5.74133902028238,4.73088875003631,6.11785983099884,5.9710427701627,
Lower middle income,LMC,,3.87588645493426,4.37223477852837,5.3145737034273,6.17342814988859,1.85937818074638,1.33777641320303,4.27312972532916,4.45905316652566,6.9903508445674,6.67081844234126,4.06642687823799,2.62700193571217,4.84283056406039,4.58062425616849,6.29815918027236,5.6708269941,6.90873946976016,5.13571245079885,1.01330569438333,5.73939762938697,3.9198880159188,3.36462343835424,4.54157851428604,2.53568551508705,3.76906859351335,3.91936755062008,3.43647529590487,6.665969378795,5.16752985827247,3.78210830516723,1.66729762924047,2.8576420417544,2.75622017921209,3.74445328841814,5.17089601303292,5.97986897582858,3.82739800259016,2.07038906484112,5.12875087587345,4.03204290834573,3.96187545027846,3.47505694906312,5.38886622205878,7.11234467331001,6.81634708384158,7.37731702268785,7.71440770997221,4.63041127939768,5.15982155305304,7.27235762527548,5.69279702669895,
Middle East & North Africa (all income levels),MEA,,,,,,,,,,9.81493995358436,8.59117442019503,9.76129673213117,16.4464940963216,9.41951972669995,14.2482412357265,6.06018826330627,12.3927552946043,5.78619766294422,0.23598172793082,6.56349821246747,5.4563704100871,3.11011908013153,-1.10105013156725,0.494329358279003,1.2786433481282,0.979450345346635,-0.539863767204608,0.355714331917255,2.89751358795567,2.11217446108323,8.54944811944405,6.6193301184053,4.38612244654446,2.5924813736961,3.61384756907599,3.27793950790056,4.99190350780252,3.52617982525609,4.11496345796358,2.51990947786121,5.38448749746495,1.71740168607056,2.13732020920223,5.1408404299019,6.61702153256789,5.26036447434979,5.85274676649567,5.05076153777051,4.94896116862782,1.76741376960423,4.47884545865209,5.18773720458962,
Middle East & North Africa (developing only),MNA,,,,,,,2.46264182294777,7.31867702008515,9.23029862044697,10.0147110319673,7.36982212114114,5.2575665948689,14.0566365662199,3.26823573771347,7.92646063521354,6.97992086633448,14.1559694564729,3.19494372741684,0.536298011616523,0.795825274349454,-1.0780135422295,0.342756980563379,8.9689233248575,7.16745191927606,2.72755979301455,4.35544460488022,-1.43504177568717,0.310615492723201,1.16170163980414,0.952379435129117,7.39405431568613,6.357135408012,3.90887802193764,0.674431216135929,3.05824568636579,2.82702865543246,6.12447778130054,2.82837700626925,5.85298955785714,4.27711174467187,3.3727555951865,2.59438865656236,3.31798490955227,3.48497008228037,6.2086491368935,4.69349518036624,5.49437916692671,5.90711152376633,4.7301552683758,3.59749266191803,4.17936132082859,,
