Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Colombia,COL,0.310547028,0.308234609,0.305465546,0.302533116,0.30356828,0.299002971,0.296690928,0.294577172,0.295000459,0.292865093,0.290438625,0.288330658,0.286727429,0.284713774,0.292103545,0.299583038,0.299075922,0.299075922
Comoros,COM,0.541682425,0.536139293,0.534805999,0.528591447,0.525251029,0.513597104,0.508886146,0.516881995,0.541270362,0.53296387,0.507061173,0.488767454,0.47956666,0.474273602,0.476873086,0.480966885,0.521643622,0.521643622
Congo,COG,0.579105879,0.580476554,0.582882714,0.584925623,0.586777396,0.587561462,0.586890437,0.586870481,0.586462041,0.592121016,0.591803405,0.587739809,0.587702873,0.583710342,0.586678281,0.577198207,0.586790374,0.586790374
Congo :DRC,COD,0.697875095,0.693930586,0.703034588,0.697951046,0.695743291,0.693898761,0.694322086,0.699103661,0.718727247,0.72065553,0.719531659,0.741882658,0.724722258,0.729501978,0.722214842,0.706817446,0.703190288,0.703190288
Costa Rica,CRI,0.256621653,0.257329659,0.257718072,0.255088598,0.24321801,0.247806075,0.248704996,0.247419289,0.245654191,0.244937937,0.243496105,0.242666089,0.242092668,0.241395954,0.240786382,0.24089466,0.240896944,0.240896944
Cote d'Ivoire,CIV,0.647168631,0.644156171,0.638352497,0.63216326,0.627265897,0.624415497,0.618927998,0.620707207,0.620221151,0.606679797,0.601953205,0.594144138,0.585671348,0.581193101,0.581726719,0.571424111,0.573940624,0.573940624
Croatia,HRV,0.169017831,0.166185451,0.165660827,0.165580446,0.163519083,0.1623502,0.156810381,0.155958094,0.154910558,0.152605997,0.152139639,0.150755817,0.148751802,0.147229833,0.146177487,0.144983834,0.143645417,0.143645417
Cuba,CUB,0.267218914,0.265507843,0.263801153,0.260336394,0.25730754,0.253817858,0.253194532,0.252052991,0.24823389,0.244790964,0.240605951,0.236378691,0.232433318,0.229315536,0.226082147,0.22296123,0.222737663,0.222737663
Cyprus,CYP,0.158331122,0.157752208,0.159095599,0.160449303,0.161806169,0.149749527,0.156247995,0.159806121,0.159195528,0.158779598,0.15844992,0.155972819,0.152494218,0.148967642,0.146724648,0.144455148,0.143846937,0.143846937
Czech Republic,CZE,0.133399623,0.131242539,0.129517162,0.128526745,0.126656653,0.121632089,0.120958083,0.11947107,0.119650723,0.11746669,0.116445259,0.114075885,0.112835399,0.114477516,0.112785569,0.11028061,0.108784675,0.108784675
Denmark,DNK,0.128223509,0.126799623,0.124126143,0.121985184,0.121149102,0.12015042,0.119460815,0.117763081,0.112310877,0.106525336,0.109191665,0.112298636,0.076743004,0.070779977,0.065150277,0.063559849,0.061226515,0.061226515
Djibouti,DJI,0.66031108,0.660367854,0.647424777,0.632658935,0.618516355,0.618011919,0.615827267,0.609353695,0.598098283,0.601377151,0.585578712,0.579996058,0.568637569,0.583464979,0.57247898,0.56241085,0.547906968,0.547906968
Dominica,DMA,0.300907308,0.309857468,0.312612068,0.30034586,0.29131972,0.284382147,0.276482241,0.274122855,0.268741689,0.273071819,0.268741689,0.272607403,0.282768826,0.268741689,0.275022501,0.274079456,0.279216356,0.279216356
Dominican Republic,DOM,0.32889039,0.322895283,0.315149848,0.315850534,0.314308015,0.312024692,0.310371518,0.312453299,0.319596842,0.31758682,0.309115122,0.312473498,0.311228911,0.30702301,0.305754811,0.30842875,0.304720926,0.304720926
Ecuador,ECU,0.304025082,0.301792503,0.297033442,0.297323821,0.298371517,0.296659724,0.290370261,0.286565634,0.283105674,0.281117435,0.279046587,0.27799787,0.276718936,0.275647634,0.274021698,0.272616617,0.271988452,0.271988452
Egypt,EGY,0.371044991,0.365673998,0.366006139,0.359017973,0.352221248,0.345612688,0.341750524,0.33808497,0.334548801,0.332037952,0.329529821,0.326653822,0.324375732,0.31906799,0.317571066,0.314897698,0.314042204,0.314042204
El Salvador,SLV,0.337661759,0.337318885,0.332008074,0.328764338,0.324039237,0.320539869,0.320938276,0.318540737,0.315619435,0.314587827,0.314601037,0.31349363,0.312374415,0.310626074,0.316895174,0.306429505,0.304797775,0.304797775
Equatorial Guinea,GNQ,0.630976097,0.631155779,0.636464675,0.646887823,0.621245554,0.573550955,0.565628106,0.55353043,0.537704998,0.525522912,0.514976367,0.515888723,0.513719011,0.505652094,0.50380551,0.500492071,0.498965383,0.498965383
Eritrea,ERI,0.591710661,0.589793866,0.555475719,0.566235601,0.564805605,0.558671015,0.573129172,0.561532944,0.609814232,0.629569762,0.623922655,0.618481899,0.535509169,0.554940835,0.548973817,0.511529895,0.567038666,0.567038666
Estonia,EST,0.294408609,0.287857569,0.287422301,0.288749635,0.290779175,0.267076531,0.2846005,0.281970355,0.280220613,0.278429699,0.275477297,0.274891507,0.275245437,0.272379146,0.273914552,0.267897914,0.264074764,0.264074764
Ethiopia,ETH,0.675827167,0.674340145,0.676956677,0.671005867,0.673536851,0.674210517,0.671335893,0.64067243,0.642678936,0.657127262,0.639939822,0.623910678,0.616414422,0.607631194,0.58440698,0.578797603,0.590759144,0.590759144
Fiji,FJI,0.408894862,0.398771694,0.397577919,0.399639446,0.410704104,0.409291021,0.410976583,0.408142903,0.404695033,0.414647562,0.405514882,0.400083244,0.395406107,0.398822206,0.39811778,0.402072564,0.400170913,0.400170913
Finland,FIN,0.126349752,0.124067696,0.122114908,0.121405209,0.119401201,0.117493566,0.115851456,0.115357819,0.11453778,0.110287367,0.106852933,0.102393132,0.057953414,0.037964904,0.037445475,0.036922306,0.034909859,0.034909859
France,FRA,0.12630932,0.125595071,0.123051554,0.122508038,0.121964521,0.120754337,0.120404791,0.119713782,0.142732457,0.147341101,0.14329501,0.134044294,0.128802641,0.127236579,0.153152955,0.178456582,0.101930739,0.101930739
Gabon,GAB,0.45569704,0.44643542,0.443539481,0.442591517,0.442895862,0.442171483,0.440762356,0.43859741,0.438667001,0.435066191,0.437143953,0.430700238,0.428807227,0.423998769,0.419476602,0.417611389,0.414235628,0.414235628
Gambia,GMB,0.598638152,0.594397852,0.585948321,0.586007518,0.591936897,0.5832262,0.573751231,0.573033966,0.563674851,0.554729969,0.603884896,0.614754512,0.579667144,0.569038199,0.540656931,0.557753837,0.570270222,0.570270222
Georgia,GEO,0.173268167,0.176849436,0.169089597,0.169889602,0.187801608,0.170382718,0.18813497,0.197918355,0.186927648,0.181756822,0.173099537,0.174116026,0.182361638,0.184810696,0.177130953,0.172602779,0.200150477,0.200150477
Germany,DEU,0.12818231,0.1273214,0.125964554,0.123266245,0.122405335,0.120381823,0.119037381,0.119367736,0.117527359,0.116346602,0.115328447,0.114616201,0.103276933,0.09253767,0.089296536,0.085884667,0.083372472,0.083372472
